group	id
Javastraat	ChIJkU48lHIJxkcRZ2HXn6SG3ME
Javastraat	ChIJL4Ql7nIJxkcRzQIS5Q0kO-Y
Foodplaza Nieuwezijds Voorburgwal	ChIJIcJrtsYJxkcRIRWS5J0TKHE
Osdorper Ban	ChIJDVTDDcXjxUcR5DgTeLLre5Q
Tussenmeer/Osdorpplein	ChIJhZR7z9HjxUcRlfVN6sQkMLA
Tussenmeer/Osdorpplein	ChIJ-9ckRtDjxUcRRpcz1nKedrw
Tussenmeer/Osdorpplein	ChIJp5XSJNDjxUcRhdIlozoavPQ
Tussenmeer/Osdorpplein	ChIJVwucBNLjxUcRXzGhUau_gBw
Tussenmeer/Osdorpplein	ChIJv726-s3jxUcRxaKrYdV5HiM
Plein '40-'45	ChIJ3-yu-E3ixUcR-obflfQkYiA
Sloterplas/strand (varkensbaai)	-
Buikslotermeerplein	ChIJe0hdkfYIxkcREJCNzLpGL3g
Buikslotermeerplein	ChIJ2WvGAvAIxkcRNBBbK-YVITU
Buiksloterweg	ChIJYyOpnFQIxkcRErWFhYVuAeQ
Buiksloterweg	-
Noorderpark	ChIJy3MKglYIxkcRb-OM2GyApmo
Rembrandtpark	ChIJ-e1IGhTixUcRy260F0WUXj4
Waterlandplein	ChIJTwqayd0IxkcRpNMIIuYnzyY
Waterlandplein	ChIJlQqayd0IxkcRxDvZBWgfuNs
Somerlust	ChIJ70HA6dMLxkcRGASJH4vZ2Ok
Bogortuin	EipBemFydHBsZWluLCAxMDE5IFBEIEFtc3RlcmRhbSwgTmV0aGVybGFuZHMiLiosChQKEgm1a-XIGgnGRxH_VtO-8L_U2BIUChIJVXealLU_xkcRja_At0z9AGY
Middenmeer	-
Oosterpark	ChIJy_w8o40JxkcRUCcFTTKggzU
Erasmuspark	ChIJ-e1IGhTixUcRy260F0WUXj4
Kinkerstraat	ChIJZ9LVZ-AJxkcRb4eDDGKM6V4
Kinkerstraat	ChIJEQGBBt4JxkcR7hTHBj2Cdvk
Kinkerstraat	ChIJPx19owvixUcRG-3BcoJQN2w
JJ Cremerplein	ChIJ-e1IGhTixUcRy260F0WUXj4
Westerpark	ChIJgVQWenbixUcRBZiubJ1c4AM
Zaandammerplein	ChIJgVQWenbixUcRBZiubJ1c4AM
Albert Cuyp markt	ChIJcVZ0i_IJxkcRSwuhqrmu2NI
Sarphatipark	ChIJy_w8o40JxkcRUCcFTTKggzU
Sportvelden Zuid	ChIJo4lRuvvhxUcRIrnD0qTNYk8
ASV Arsenal	ChIJo4lRuvvhxUcRIrnD0qTNYk8
Schinkeleilanden	ChIJo4lRuvvhxUcRIrnD0qTNYk8
Vondelpark	ChIJz3y0xeIJxkcRNcogBVV41Gw
Bijlmerplein 	ChIJA7jjiI4LxkcRMTnIp_XjHrk
Bijlmerplein 	ChIJQ9sMKfsLxkcRsVlzqY7vSrQ
Nelson Mandelapark	ChIJx3QKP4gLxkcR6Zl4K9jv8OA
Ganzenhoef	ChIJySN0hgsMxkcRr8rputb4mp0
Ganzenhoef	ChIJjXE2cAsMxkcR2OEdGn2G1Yo
Anton de Komplein	ChIJA7jjiI4LxkcRMTnIp_XjHrk
Anton de Komplein	ChIJQ9sMKfsLxkcRsVlzqY7vSrQ
Kraaiennest	ChIJT9sGjm0MxkcRgOSVqApunuA
Kraaiennest	ChIJ39amEXIMxkcRLxfTTQXbz0k
Weesperzijde	ChIJy_w8o40JxkcRUCcFTTKggzU